766,Industrial Safety and Health Engineers
767,Industrial Truck and Tractor Operators
768,Industrial-Organizational Psychologists
769,Infantry
770,Infantry Officers
771,Informatics Nurse Specialists
772,"Information and Record Clerks, All Other"
773,Information Security Analysts
774,Information Technology Project Managers
775,"Inspectors, Testers, Sorters, Samplers, and Weighers"
776,"Installation, Maintenance, and Repair Workers, All Other"
777,Instructional Coordinators
778,Instructional Designers and Technologists
779,"Insulation Workers, Floor, Ceiling, and Wall"
780,"Insulation Workers, Mechanical"
781,"Insurance Adjusters, Examiners, and Investigators"
782,"Insurance Appraisers, Auto Damage"
783,Insurance Claims and Policy Processing Clerks
784,Insurance Claims Clerks
785,Insurance Policy Processing Clerks
786,Insurance Sales Agents
787,Insurance Underwriters
788,Intelligence Analysts
789,Interior Designers
790,"Internists, General"
791,Interpreters and Translators
792,"Interviewers, Except Eligibility and Loan"
793,Investment Fund Managers
794,Investment Underwriters
795,Irradiated-Fuel Handlers
796,Janitorial Supervisors
797,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
798,Jewelers
799,Jewelers and Precious Stone and Metal Workers
800,Job Printers
801,"Judges, Magistrate Judges, and Magistrates"
802,Judicial Law Clerks
803,Keyboard Instrument Repairers and Tuners
804,"Kindergarten Teachers, Except Special Education"
805,Click here for Careers that match your Personality 
806,Labor Relations Specialists
807,"Laborers and Freight, Stock, and Material Movers, Hand"
808,Landscape Architects
809,Landscaping and Groundskeeping Workers
810,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
811,"Laundry and Drycleaning Machine Operators and Tenders, Except Pressing"
812,Laundry and Dry-Cleaning Workers
813,Law Clerks
814,"Law Teachers, Postsecondary"
815,Lawn Service Managers
816,Lawyers
817,"Lay-Out Workers, Metal and Plastic"
818,Legal Secretaries
819,"Legal Support Workers, All Other"
820,Legislators
821,Letterpress Setters and Set-Up Operators
822,Librarians
823,"Library Assistants, Clerical"
824,"Library Science Teachers, Postsecondary"
825,Library Technicians
826,License Clerks
827,Licensed Practical and Licensed Vocational Nurses
828,Licensing Examiners and Inspectors
829,"Life Scientists, All Other"
830,"Life, Physical, and Social Science Technicians, All Other"
831,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
832,"Loading Machine Operators, Underground Mining"
833,Loan Counselor
834,Loan Counselors
835,Loan Interviewers and Clerks
836,Loan Officers
837,"Locker Room, Coatroom, and Dressing Room Attendants"
838,Locksmiths and Safe Repairers
839,Locomotive Engineers
840,Locomotive Firers
841,Lodging Managers
842,Log Graders and Scalers
843,Logging Equipment Operators
844,Logging Tractor Operators
845,"Logging Workers, All Other"
846,Logisticians
847,Logistics Analysts
848,Logistics Engineers
849,Logistics Managers
850,Loss Prevention Managers
851,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
852,Machine Feeders and Offbearers
853,Machinists
854,Magnetic Resonance Imaging Technologists
855,Maids and Housekeeping Cleaners
856,"Mail Clerks and Mail Machine Operators, Except Postal Service"
857,"Mail Clerks, Except Mail Machine Operators and Postal Service"
858,"Mail Machine Operators, Preparation and Handling"
859,Maintenance and Repair Worker
860,"Maintenance and Repair Workers, General"
861,"Maintenance Workers, Machinery"
862,"Makeup Artists, Theatrical and Performance"
863,Management Analysts
864,"Managers, All Other"
865,Manicurists and Pedicurists
866,Manufactured Building and Mobile Home Installers
867,Manufacturing Engineering Technologists
868,Manufacturing Engineers
869,Manufacturing Production Technicians
870,Mapping Technicians
871,Marine Architects
872,Marine Cargo Inspectors
873,Marine Engineers
874,Marine Engineers and Naval Architects
875,Market Research Analysts
876,Market Research Analysts and Marketing Specialists
877,Marketing Managers
878,Marking and Identification Printing Machine Setters and Set-Up Operators
879,Marking Clerks
880,Marriage and Family Therapists
881,Massage Therapists
882,"Material Moving Workers, All Other"
883,Materials Engineers
884,Materials Inspectors
885,Materials Scientists
886,"Mates- Ship, Boat, and Barge"
887,"Mathematical Science Occupations, All Other"
888,"Mathematical Science Teachers, Postsecondary"
889,Mathematical Technicians
890,Mathematicians
891,"Meat, Poultry, and Fish Cutters and Trimmers"
892,Mechanical Door Repairers
893,Mechanical Drafters
894,Mechanical Engineering Technicians
895,Mechanical Engineering Technologists
896,Mechanical Engineers
897,Mechanical Inspectors
898,Mechatronics Engineers
899,"Media and Communication Equipment Workers, All Other"
900,"Media and Communication Workers, All Other"
901,Medical and Clinical Laboratory Technicians
902,Medical and Clinical Laboratory Technologists
903,Medical and Health Services Managers
904,Medical and Public Health Social Workers
905,Medical Appliance Technicians
906,Click here for Careers that match your Personality 
907,Medical Assistants
908,Medical Equipment Preparers
